step:371/1555 train_time:12294ms step_avg:33.14ms
step:372/1555 train_time:12332ms step_avg:33.15ms
step:373/1555 train_time:12359ms step_avg:33.13ms
step:374/1555 train_time:12397ms step_avg:33.15ms
step:375/1555 train_time:12425ms step_avg:33.13ms
step:376/1555 train_time:12463ms step_avg:33.15ms
step:377/1555 train_time:12492ms step_avg:33.14ms
step:378/1555 train_time:12529ms step_avg:33.14ms
step:379/1555 train_time:12556ms step_avg:33.13ms
step:380/1555 train_time:12595ms step_avg:33.15ms
step:381/1555 train_time:12623ms step_avg:33.13ms
step:382/1555 train_time:12660ms step_avg:33.14ms
step:383/1555 train_time:12688ms step_avg:33.13ms
step:384/1555 train_time:12726ms step_avg:33.14ms
step:385/1555 train_time:12755ms step_avg:33.13ms
step:386/1555 train_time:12792ms step_avg:33.14ms
step:387/1555 train_time:12819ms step_avg:33.12ms
step:388/1555 train_time:12857ms step_avg:33.14ms
step:389/1555 train_time:12886ms step_avg:33.13ms
step:390/1555 train_time:12924ms step_avg:33.14ms
step:391/1555 train_time:12952ms step_avg:33.13ms
step:392/1555 train_time:12990ms step_avg:33.14ms
step:393/1555 train_time:13018ms step_avg:33.12ms
step:394/1555 train_time:13056ms step_avg:33.14ms
step:395/1555 train_time:13084ms step_avg:33.12ms
step:396/1555 train_time:13121ms step_avg:33.13ms
step:397/1555 train_time:13149ms step_avg:33.12ms
step:398/1555 train_time:13188ms step_avg:33.14ms
step:399/1555 train_time:13216ms step_avg:33.12ms
step:400/1555 train_time:13253ms step_avg:33.13ms
step:401/1555 train_time:13282ms step_avg:33.12ms
step:402/1555 train_time:13319ms step_avg:33.13ms
step:403/1555 train_time:13347ms step_avg:33.12ms
step:404/1555 train_time:13385ms step_avg:33.13ms
step:405/1555 train_time:13413ms step_avg:33.12ms
step:406/1555 train_time:13451ms step_avg:33.13ms
step:407/1555 train_time:13479ms step_avg:33.12ms
step:408/1555 train_time:13518ms step_avg:33.13ms
step:409/1555 train_time:13546ms step_avg:33.12ms
step:410/1555 train_time:13584ms step_avg:33.13ms
step:411/1555 train_time:13612ms step_avg:33.12ms
step:412/1555 train_time:13649ms step_avg:33.13ms
step:413/1555 train_time:13678ms step_avg:33.12ms
step:414/1555 train_time:13715ms step_avg:33.13ms
step:415/1555 train_time:13743ms step_avg:33.12ms
step:416/1555 train_time:13781ms step_avg:33.13ms
step:417/1555 train_time:13809ms step_avg:33.11ms
step:418/1555 train_time:13847ms step_avg:33.13ms
step:419/1555 train_time:13875ms step_avg:33.11ms
step:420/1555 train_time:13912ms step_avg:33.12ms
step:421/1555 train_time:13939ms step_avg:33.11ms
step:422/1555 train_time:13978ms step_avg:33.12ms
step:423/1555 train_time:14006ms step_avg:33.11ms
step:424/1555 train_time:14043ms step_avg:33.12ms
step:425/1555 train_time:14071ms step_avg:33.11ms
step:426/1555 train_time:14109ms step_avg:33.12ms
step:427/1555 train_time:14137ms step_avg:33.11ms
step:428/1555 train_time:14174ms step_avg:33.12ms
step:429/1555 train_time:14203ms step_avg:33.11ms
step:430/1555 train_time:14240ms step_avg:33.12ms
step:431/1555 train_time:14269ms step_avg:33.11ms
step:432/1555 train_time:14306ms step_avg:33.12ms
step:433/1555 train_time:14335ms step_avg:33.11ms
step:434/1555 train_time:14372ms step_avg:33.12ms
step:435/1555 train_time:14400ms step_avg:33.10ms
step:436/1555 train_time:14438ms step_avg:33.12ms
step:437/1555 train_time:14467ms step_avg:33.10ms
step:438/1555 train_time:14506ms step_avg:33.12ms
step:439/1555 train_time:14532ms step_avg:33.10ms
step:440/1555 train_time:14570ms step_avg:33.11ms
step:441/1555 train_time:14599ms step_avg:33.10ms
step:442/1555 train_time:14637ms step_avg:33.11ms
step:443/1555 train_time:14665ms step_avg:33.10ms
step:444/1555 train_time:14703ms step_avg:33.11ms
step:445/1555 train_time:14730ms step_avg:33.10ms
step:446/1555 train_time:14767ms step_avg:33.11ms
step:447/1555 train_time:14796ms step_avg:33.10ms
step:448/1555 train_time:14833ms step_avg:33.11ms
step:449/1555 train_time:14862ms step_avg:33.10ms
step:450/1555 train_time:14900ms step_avg:33.11ms
step:451/1555 train_time:14928ms step_avg:33.10ms
step:452/1555 train_time:14966ms step_avg:33.11ms
step:453/1555 train_time:14993ms step_avg:33.10ms
step:454/1555 train_time:15031ms step_avg:33.11ms
step:455/1555 train_time:15059ms step_avg:33.10ms
step:456/1555 train_time:15097ms step_avg:33.11ms
step:457/1555 train_time:15125ms step_avg:33.10ms
step:458/1555 train_time:15162ms step_avg:33.10ms
step:459/1555 train_time:15190ms step_avg:33.09ms
step:460/1555 train_time:15227ms step_avg:33.10ms
step:461/1555 train_time:15256ms step_avg:33.09ms
step:462/1555 train_time:15293ms step_avg:33.10ms
step:463/1555 train_time:15321ms step_avg:33.09ms
step:464/1555 train_time:15360ms step_avg:33.10ms
step:465/1555 train_time:15387ms step_avg:33.09ms
step:466/1555 train_time:15425ms step_avg:33.10ms
step:467/1555 train_time:15452ms step_avg:33.09ms
step:468/1555 train_time:15490ms step_avg:33.10ms
step:469/1555 train_time:15519ms step_avg:33.09ms
step:470/1555 train_time:15556ms step_avg:33.10ms
step:471/1555 train_time:15584ms step_avg:33.09ms
step:472/1555 train_time:15621ms step_avg:33.10ms
step:473/1555 train_time:15650ms step_avg:33.09ms
step:474/1555 train_time:15687ms step_avg:33.09ms
step:475/1555 train_time:15715ms step_avg:33.08ms
step:476/1555 train_time:15753ms step_avg:33.09ms
step:477/1555 train_time:15780ms step_avg:33.08ms
step:478/1555 train_time:15819ms step_avg:33.09ms
step:479/1555 train_time:15845ms step_avg:33.08ms
step:480/1555 train_time:15883ms step_avg:33.09ms
step:481/1555 train_time:15913ms step_avg:33.08ms
step:482/1555 train_time:15950ms step_avg:33.09ms
step:483/1555 train_time:15978ms step_avg:33.08ms
step:484/1555 train_time:16015ms step_avg:33.09ms
step:485/1555 train_time:16045ms step_avg:33.08ms
step:486/1555 train_time:16081ms step_avg:33.09ms
step:487/1555 train_time:16110ms step_avg:33.08ms
step:488/1555 train_time:16147ms step_avg:33.09ms
step:489/1555 train_time:16176ms step_avg:33.08ms
step:490/1555 train_time:16215ms step_avg:33.09ms
step:491/1555 train_time:16242ms step_avg:33.08ms
step:492/1555 train_time:16280ms step_avg:33.09ms
step:493/1555 train_time:16308ms step_avg:33.08ms
step:494/1555 train_time:16345ms step_avg:33.09ms
step:495/1555 train_time:16373ms step_avg:33.08ms
step:496/1555 train_time:16410ms step_avg:33.09ms
step:497/1555 train_time:16439ms step_avg:33.08ms
step:498/1555 train_time:16476ms step_avg:33.08ms
step:499/1555 train_time:16505ms step_avg:33.08ms
step:500/1555 train_time:16542ms step_avg:33.08ms
step:500/1555 val_loss:4.2264 train_time:16588ms step_avg:33.18ms
step:501/1555 train_time:16613ms step_avg:33.16ms
step:502/1555 train_time:16641ms step_avg:33.15ms
step:503/1555 train_time:16667ms step_avg:33.13ms
step:504/1555 train_time:16691ms step_avg:33.12ms
step:505/1555 train_time:16717ms step_avg:33.10ms
step:506/1555 train_time:16789ms step_avg:33.18ms
step:507/1555 train_time:16849ms step_avg:33.23ms
step:508/1555 train_time:16907ms step_avg:33.28ms
step:509/1555 train_time:16962ms step_avg:33.33ms
step:510/1555 train_time:17025ms step_avg:33.38ms
step:511/1555 train_time:17084ms step_avg:33.43ms
step:512/1555 train_time:17144ms step_avg:33.48ms
step:513/1555 train_time:17198ms step_avg:33.53ms
step:514/1555 train_time:17261ms step_avg:33.58ms
step:515/1555 train_time:17315ms step_avg:33.62ms
step:516/1555 train_time:17374ms step_avg:33.67ms
step:517/1555 train_time:17432ms step_avg:33.72ms
step:518/1555 train_time:17492ms step_avg:33.77ms
step:519/1555 train_time:17552ms step_avg:33.82ms
step:520/1555 train_time:17612ms step_avg:33.87ms
step:521/1555 train_time:17671ms step_avg:33.92ms
step:522/1555 train_time:17733ms step_avg:33.97ms
step:523/1555 train_time:17792ms step_avg:34.02ms
step:524/1555 train_time:17851ms step_avg:34.07ms
step:525/1555 train_time:17912ms step_avg:34.12ms
